t,x,tf,ts
0.6240625,0.895,1.0021477,1.0010375
0.7835125,0.778,1.1896006,1.1091734
0.3981062499999999,0.469,1.020657,1.0091274
0.41590625,0.948,0.9988221,0.99926186
0.94975,0.457,2.5409017,2.194702
0.4155843749999999,0.479,1.0168257,1.0110003
0.7788031249999999,0.993,1.034117,1.0203837
0.2395624999999999,0.723,0.9989319,0.9993391
0.3471218749999999,0.067,3.0704036,1.6170219
0.2760031249999999,0.428,0.9995022,0.9996817
0.7563843749999999,0.833,1.0946053,1.0516431
0.8521374999999999,0.145,3.5495563,3.1098146
0.0104406249999999,0.428,0.9990773,0.9995233
0.761928125,0.558,1.6674875,1.4304711
0.7831062499999999,0.866,1.0900928,1.0510542
0.727296875,0.916,1.0268816,1.0130465
0.331940625,0.864,0.99871886,0.99922156
0.094746875,0.245,1.0001731,1.0004907
0.7635375,0.671,1.3496691,1.2097561
0.3092281249999999,0.423,0.9998727,0.99980545
0.5528124999999999,0.908,0.99913156,0.9993385
0.3321874999999999,0.062,3.030202,1.5248752
0.33334375,0.416,1.0016769,1.0005618
0.1943375,0.477,0.9993664,0.9997176
0.6257093749999999,0.292,2.4391556,1.9537141
0.565090625,0.054,3.6841564,2.7071989
0.4716499999999999,0.67,1.0025322,1.0011741
0.1000499999999999,0.987,0.9998888,1.000123
0.1908593749999999,0.363,0.9997636,1.0000272
0.622821875,0.675,1.0993835,1.0496707
0.74158125,0.764,1.151352,1.0835409
0.6104031249999999,0.299,2.3477058,1.871308
0.8722343749999999,0.355,2.7837958,2.3940284
0.177859375,0.646,0.99905884,0.99943733
0.9010625,0.996,1.1208061,1.0847135
0.8485906249999999,0.264,3.1075563,2.6924317
0.7830124999999999,0.141,3.4956784,2.9943402
0.139665625,0.86,0.99938846,0.99968743
0.7322812499999999,0.03,3.8836708,3.1529298
0.2140812499999999,0.047,1.0011961,0.9987482
0.794215625,0.774,1.2110668,1.123138
0.8735875,0.274,3.1100798,2.708915
0.781215625,0.942,1.0440952,1.0255286
0.4610937499999999,0.032,3.7471251,2.3589563
0.648490625,0.061,3.71142,2.9240887
0.4601781249999999,0.748,0.9995831,0.99959135
0.2153437499999999,0.882,0.99921715,0.9995543
0.117725,0.059,1.0007838,1.0005069
0.767440625,0.54,1.7461911,1.4892557
0.503109375,0.972,0.99918425,0.9992691
0.0718875,0.071,1.0008692,1.000834
0.8274437499999999,0.259,3.0914187,2.66414
0.67250625,0.651,1.2098831,1.1147048
0.269078125,0.388,0.9996333,0.9997324
0.62630625,0.6950000000000001,1.0850486,1.0418243
0.90775,0.211,3.3853812,2.9995646
0.8025499999999999,0.133,3.5453591,3.0566225
0.419859375,0.209,2.051188,1.4706839
0.3369875,0.8290000000000001,0.99868524,0.99919426
0.864825,0.089,3.7379103,3.2707787
0.27018125,0.127,1.0680338,1.0147048
0.26585,0.749,0.99885,0.99928534
0.692659375,0.472,1.7856045,1.499688
0.6285062499999999,0.189,3.0250292,2.4176583
0.9445375,0.321,3.0500274,2.6822944
0.9517625,0.514,2.324329,2.001143
0.279353125,0.098,1.6292652,1.0895227
0.606421875,0.665,1.0887681,1.0436115
0.1833874999999999,0.8190000000000001,0.99919665,0.99953055
0.286253125,0.792,0.9987987,0.9992565
0.53220625,0.092,3.4094815,2.4808233
0.4147781249999999,0.986,0.998824,0.9992782
0.5724843749999999,0.104,3.4002638,2.5801904
0.3486062499999999,0.09,2.7546992,1.5440105
0.213515625,0.6990000000000001,0.998999,0.9993864
0.62045,0.652,1.1215397,1.0617812
0.6998749999999999,0.374,2.2515469,1.8551419
0.5399124999999999,0.424,1.4494784,1.2385179
0.20965625,0.758,0.99904,0.99941313
0.648984375,0.085,3.5972004,2.864592
0.298265625,0.122,1.7012179,1.134516
0.266578125,0.159,1.0074219,1.0018512
0.5831031249999999,0.7020000000000001,1.0420803,1.0185025
0.074040625,0.642,0.9990115,0.99940073
0.1887843749999999,0.971,0.9995363,0.99980974
0.877728125,0.8250000000000001,1.2550894,1.1595918
0.5386875,0.23,2.5044737,1.9046187
0.2851999999999999,0.16,1.1170312,1.0284362
0.6878593749999999,0.478,1.7462485,1.4702317
0.3496499999999999,0.105,2.5586433,1.4936432
0.53579375,0.045,3.7146626,2.6296396
0.8522124999999999,0.331,2.8415427,2.4398057
0.8176718749999999,0.423,2.3635926,1.9961579
0.5878374999999999,0.657,1.0740405,1.0354853
